Rank,Released,Released Worldwide,Release Year,Title,Theatrical Distributor,Genre,Source,Production Method,Creative Type,Production Budget,Opening Weekend Theaters,Maximum Theaters,Theatrical Engagements,Opening Weekend Revenue,Domestic Box Office,Infl. Adj. Dom. Box Office,International Box Office,Worldwide Box Office
52,"Dec 31, 2023","Apr 12, 2024",2023,Detective Conan: The Million-Dollar P,,Adventure,,Digital Animation,Science Fiction,0,0,0,0,0,0,0,150008115,150008115
53,"Apr 21, 2023","Apr 19, 2023",2023,Evil Dead Rise,Warner Bros.,Horror,Original Screenplay,Live Action,Contemporary Fiction,15000000,3402,3417,16204,24504315,67356372,69634426,79900000,147256372
54,"Mar 10, 2023","Feb 1, 2022",2023,Boonie Bears: Back to Earth,,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,147097958,147097958
55,"Dec 31, 2023","Sep 28, 2023",2023,Ex File 4 4,,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,142106517,142106517
56,"Oct 6, 2023","Oct 4, 2023",2023,The Exorcist: Believer,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,30000000,3663,3684,17724,26497600,65537395,67753924,71460674,136998069
57,"Sep 7, 2023","Sep 7, 2023",2023,Jawan,Yash Raj Films,Action,Original Screenplay,Live Action,Contemporary Fiction,0,826,826,2498,6124963,15198530,15712553,121476558,136675088
58,"Nov 24, 2023","Jan 22, 2023",2023,Deep Sea,Viva Pictures,Adventure,Original Screenplay,Digital Animation,Fantasy,0,0,0,0,0,0,0,136090000,136090000
59,"Mar 17, 2023","Mar 15, 2023",2023,Shazam Fury of the Gods,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,125000000,4071,4071,14397,30111158,57721819,59674014,76500000,134221819
60,"Aug 18, 2023","Aug 16, 2023",2023,Blue Beetle,Warner Bros.,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,120000000,3871,3871,20414,25030225,72541501,74994914,58300000,130841501
61,"Feb 17, 2023","Jan 22, 2023",2023,Hidden Blade,Well Go USA,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,62,62,172,296337,803189,830358,125177961,125981150
62,"Sep 29, 2023","Sep 27, 2023",2023,Saw X,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,13000000,3262,3262,16729,18309301,53607898,55420957,71701964,125309862
63,"Sep 15, 2023","Sep 13, 2023",2023,A Haunting in Venice,20th Century Studios,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Historical Fiction,60000000,3305,3305,17055,14279529,42471412,43907829,79819044,122290456
64,"Dec 31, 2023","Apr 14, 2023",2023,Detective Conan: Black Iron Submarine,,Thriller/Suspense,Based on Fiction Book/Short Story,Digital Animation,Contemporary Fiction,0,0,0,0,0,0,0,121879597,121879597
65,"Aug 11, 2023","Jul 28, 2023",2023,One and Only,CMC Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,119579503,119579503
66,"Dec 31, 2023","Sep 28, 2023",2023,Volunteer Soldiers Attack,,Drama,Based on Real Life Events,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,118626692,118626692
67,"Aug 25, 2023","Aug 9, 2023",2023,Gran Turismo: Based on a True Story,Sony Pictures,Action,Based on Real Life Events,Live Action,Dramatization,60000000,3856,3856,17029,17410552,44428554,45931165,73433553,117862107
68,"Jul 28, 2023","Jul 26, 2023",2023,Haunted Mansion,Walt Disney,Comedy,Based on Theme Park Ride,Live Action,Contemporary Fiction,150000000,3740,3740,18115,24082475,67653287,69941379,49796503,117449790
69,"Dec 8, 2023","Dec 8, 2023",2023,Poor Things,Searchlight Pictures,Black Comedy,Based on Fiction Book/Short Story,Live Action,Science Fiction,35000000,9,2300,13326,661230,34553225,34873535,77341225,111894450
70,"Apr 28, 2023","Apr 27, 2023",2023,Born to Fly,Well Go USA,Action,Original Screenplay,Live Action,Historical Fiction,0,74,74,110,132247,276743,286098,110621736,110898479
71,"Jan 6, 2023","Dec 25, 2022",2023,A Man Called Otto,Sony Pictures,Comedy,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,50000000,637,3957,23458,4202386,64267657,66442823,44373491,108641148
72,"Jan 25, 2023","Jan 25, 2023",2023,Pathaan,Yash Raj Films,Thriller/Suspense,Original Screenplay,Live Action,Dramatization,0,695,697,2636,6892182,17487476,18078922,88396115,105883591
73,"Dec 1, 2023","Nov 3, 2023",2023,Godzilla Minus One,Toho International,Action,Original Screenplay,Live Action,Science Fiction,15000000,2308,2622,16221,11419975,57144669,58686241,47944649,105089318
74,"Sep 29, 2023","Sep 27, 2023",2023,The Creator,20th Century Studios,Thriller/Suspense,Original Screenplay,Animation/Live Action,Science Fiction,80000000,3680,3680,16050,14079512,40774679,42153716,63497457,104272136
75,"Dec 31, 2023","Nov 22, 2023",2023,12.12: The Day,,Drama,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,97554374,97554374
76,"Dec 30, 2023","Dec 28, 2023",2023,Shining For One Thing,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,97421680,97421680
77,"Dec 31, 2023","Sep 29, 2023",2023,Moscow Mission,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,92910181,92910181
78,"Jul 28, 2023","Jul 26, 2023",2023,Talk To Me,A24,Horror,Original Screenplay,Live Action,Contemporary Fiction,4250000,2340,2379,14166,10431720,48299436,49932960,43642666,91942102
79,"Apr 5, 2023","Mar 5, 2023",2023,AIR,Amazon Studios,Drama,Based on Real Life Events,Live Action,Dramatization,90000000,3507,3507,15688,14456279,52460106,54234345,37600000,90060106
80,"Feb 24, 2023","Feb 22, 2023",2023,Cocaine Bear,Universal,Black Comedy,Based on Real Life Events,Live Action,Historical Fiction,35000000,3534,3571,16752,23260790,64670240,66857436,25296333,89966573
81,"Dec 15, 2023","Dec 15, 2023",2023,Endless Journey,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,89377217,89377217
82,"Jun 23, 2023","Jun 15, 2023",2023,No Hard Feelings,Sony Pictures,Romantic Comedy,Original Screenplay,Live Action,Contemporary Fiction,45000000,3208,3208,12645,15002770,50452282,52158621,33001259,83453541
83,"Jan 20, 2023","Aug 19, 2022",2023,New Gods: Yang Jian,GKIDS,Action,Original Screenplay,Digital Animation,Fantasy,0,0,0,0,0,0,0,82453728,82453728
84,"Jun 2, 2023","May 31, 2023",2023,The Boogeyman,20th Century Studios,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,35000000,3205,3205,12210,12356486,43244282,44706835,39100551,82344833
85,"Dec 31, 2023","Dec 28, 2023",2023,The Goldfinger,,Drama,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,80088072,80088072
86,"Dec 31, 2023","Nov 1, 2023",2023,Last Suspect,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,79965280,79965280
87,"Jun 2, 2023","May 31, 2023",2023,The Roundup: No Way Out 3,Capelight Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,0,41,41,118,192568,909411,940166,78706006,79615417
88,"Dec 31, 2023","Nov 25, 2023",2023,Across the Furious Sea,,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,76360102,76360102
89,"Apr 14, 2023","Apr 5, 2023",2023,The Pope s Exorcist,Sony Pictures,Horror,Based on Real Life Events,Live Action,Dramatization,18000000,3178,3178,9715,9006368,20009380,20686114,52904087,72913467
90,"Dec 25, 2023","Dec 20, 2023",2023,The Color Purple,Warner Bros.,Musical,Based on Musical or Opera,Live Action,Historical Fiction,0,3203,3218,9637,11737072,60619191,62108923,8300000,68919191
91,"Dec 31, 2023","Sep 9, 2023",2023,DÃ¬ B GÃ¨ XiÃ¡n YÃ­ RÃ©n,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,60034311,60034311
92,"Mar 3, 2023","Feb 3, 2023",2023,Demon Slayer: Kimetsu No Yaiba To t,Crunchyroll,Adventure,Based on Comic/Graphic Novel,Digital Animation,Fantasy,0,1774,1774,1774,10117806,16945424,17518534,42608835,59554259
93,"Feb 10, 2023","Feb 8, 2023",2023,Magic Mike s Last Dance,Warner Bros.,Comedy,Original Screenplay,Live Action,Contemporary Fiction,45000000,1496,3034,9582,8305317,26033633,26914113,31100000,57133633
94,"Mar 10, 2023","Mar 9, 2023",2023,65,Sony Pictures,Thriller/Suspense,Original Screenplay,Live Action,Science Fiction,45000000,3405,3405,12818,12328361,32062904,33147190,24178123,56241027
95,"Dec 25, 2023","Dec 25, 2023",2023,The Boys in the Boat,Amazon MGM Studios,Drama,Based on Factual Book/Article,Live Action,Dramatization,40000000,2557,2687,15082,8400548,52641306,53385310,2880268,55521574
96,"Feb 24, 2023","Jan 5, 2023",2023,Mummies,Warner Bros.,Adventure,Original Screenplay,Digital Animation,Kids Fiction,0,225,384,1943,422183,4960498,5128271,50200000,55160498
97,"Feb 3, 2023","Feb 1, 2023",2023,Knock at the Cabin,Universal,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,3643,3657,13428,14127170,35397980,36595168,19314755,54712735
98,"Jun 16, 2023","Jun 8, 2023",2023,Asteroid City,Focus Features,Comedy,Original Screenplay,Live Action,Historical Fiction,0,6,1901,6373,853382,28153025,29105188,25800765,53953790
99,"Feb 24, 2023","Feb 24, 2023",2023,Jesus Revolution,Lionsgate,Drama,Based on Real Life Events,Live Action,Dramatization,15000000,2475,2575,14287,15882067,52102987,53865153,1277994,53380981
100,"Feb 1, 2023","Feb 1, 2023",2023,BTS: Yet to Come in Cinemas,Trafalgar Releasing,Concert/Performance,Based on Real Life Events,Live Action,Factual,0,1100,1100,1100,5100000,7889021,8155833,45110979,53000000
1,"Jun 14, 2024","Jun 12, 2024",2024,Inside Out 2,Walt Disney,Adventure,Original Screenplay,Digital Animation,Kids Fiction,200000000,4440,4440,40615,154201673,652980194,652980194,1045851588,1698831782
2,"Jul 26, 2024","Jul 24, 2024",2024,Deadpool Wolverine,Walt Disney,Action,Spin-Off,Animation/Live Action,Super Hero,200000000,4210,4330,39620,211435291,636745858,636745858,701325490,1338071348
3,"Nov 27, 2024","Nov 27, 2024",2024,Moana 2,Walt Disney,Musical,Original Screenplay,Digital Animation,Kids Fiction,150000000,4200,4200,38250,139787385,460405297,460405297,598730701,1059135998
4,"Jul 3, 2024","Jun 20, 2024",2024,Despicable Me 4,Universal,Adventure,Original Screenplay,Digital Animation,Kids Fiction,100000000,4428,4449,35905,75009210,361004205,361004205,611960223,972964428
5,"Nov 22, 2024","Nov 20, 2024",2024,Wicked,Universal,Musical,Based on Musical or Opera,Live Action,Fantasy,145000000,3888,3888,38478,112508890,474983975,474983975,282929370,757913345
6,"Dec 20, 2024","Dec 18, 2024",2024,Mufasa: The Lion King,Walt Disney,Musical,Original Screenplay,Animation/Live Action,Kids Fiction,200000000,4100,4100,38790,35409365,254567693,254567693,468050902,722618595
7,"Mar 1, 2024","Feb 28, 2024",2024,Dune: Part Two,Warner Bros.,Action,Based on Fiction Book/Short Story,Live Action,Science Fiction,190000000,4071,4074,28268,82505391,282709065,282709065,432497130,715206195
8,"Mar 29, 2024","Mar 27, 2024",2024,Godzilla x Kong: The New Empire,Warner Bros.,Action,Original Screenplay,Live Action,Science Fiction,135000000,3861,3948,26920,80006561,196805338,196805338,375700000,572505338
9,"Mar 8, 2024","Mar 6, 2024",2024,Kung Fu Panda 4,Universal,Comedy,Original Screenplay,Digital Animation,Kids Fiction,85000000,4035,4067,34341,57989905,193978190,193978190,354456117,548434307
10,"Dec 20, 2024","Dec 19, 2024",2024,Sonic the Hedgehog 3,Paramount Pictures,Adventure,Based on Game,Animation/Live Action,Kids Fiction,122000000,3761,3769,28492,60102146,236115100,236115100,253500522,489615622
11,"Oct 25, 2024","Oct 23, 2024",2024,Venom: The Last Dance,Sony Pictures,Action,Spin-Off,Animation/Live Action,Super Hero,110000000,4131,4131,21228,51012404,139755882,139755882,334737054,474492936
12,"Nov 22, 2024","Nov 13, 2024",2024,Gladiator II,Paramount Pictures,Action,Original Screenplay,Live Action,Historical Fiction,250000000,3573,3580,22007,55034715,172438016,172438016,287942395,460380411
13,"Sep 6, 2024","Sep 4, 2024",2024,Beetlejuice Beetlejuice,Warner Bros.,Comedy,Original Screenplay,Live Action,Science Fiction,100000000,4575,4575,34294,111003345,294100435,294100435,157879613,451980048
14,"Mar 8, 2024","Feb 10, 2024",2024,YOLO,Sony Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,200,200,705,827632,2001584,2001584,427863725,429865309
15,"Aug 1, 2024","Jul 16, 2024",2024,Successor,CMC Pictures,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,426724768,426724768
16,"Feb 9, 2024","Feb 8, 2024",2024,Pegasus 2 2,Alibaba Pictures,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,423162668,423162668
17,"Jun 7, 2024","Jun 5, 2024",2024,Bad Boys: Ride or Die,Sony Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,100000000,3885,3885,23137,56527324,193573217,193573217,206953020,400526237
18,"May 10, 2024","May 8, 2024",2024,Kingdom of the Planet of the Apes,20th Century Studios,Action,Original Screenplay,Animation/Live Action,Science Fiction,160000000,4075,4075,26910,58400788,171130165,171130165,226239804,397369969
19,"Jul 19, 2024","Jul 11, 2024",2024,Twisters,Universal,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,155000000,4151,4170,30442,81251415,267762265,267762265,104500000,372262265
20,"Aug 16, 2024","Aug 14, 2024",2024,Alien: Romulus,20th Century Studios,Horror,Original Screenplay,Live Action,Science Fiction,80000000,3885,3915,17745,42003361,105313091,105313091,245430577,350743668
21,"Aug 9, 2024","Aug 7, 2024",2024,It Ends With Us,Sony Pictures,Drama,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,25000000,3611,3839,23407,50016652,148518266,148518266,201204091,349722357
22,"Sep 27, 2024","Sep 13, 2024",2024,The Wild Robot,Universal,Adventure,Based on Fiction Book/Short Story,Digital Animation,Science Fiction,78000000,3962,3997,33459,35790150,144564905,144564905,190658268,335223173
23,"Jun 28, 2024","Jun 26, 2024",2024,A Quiet Place: Day One,Paramount Pictures,Horror,Spin-Off,Live Action,Science Fiction,67000000,3708,3708,17261,52202495,139051884,139051884,122015287,261067171
24,"May 24, 2024","May 1, 2024",2024,The Garfield Movie,Sony Pictures,Adventure,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,60000000,4035,4108,21601,24006629,91956547,91956547,163451139,255407686
25,"Oct 4, 2024","Oct 1, 2024",2024,Joker: Folie Ã  Deux,Warner Bros.,Thriller/Suspense,Based on Comic/Graphic Novel,Live Action,Contemporary Fiction,190000000,4102,4102,12700,37678467,58300287,58300287,149200000,207500287
26,"Mar 22, 2024","Mar 20, 2024",2024,Ghostbusters: Frozen Empire,Sony Pictures,Comedy,Original Screenplay,Live Action,Science Fiction,100000000,4345,4345,26415,45004673,113376590,113376590,86564410,199941000
27,"Dec 31, 2024","Jul 3, 2024",2024,A Place Called Silence,,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,192893999,192893999
28,"Nov 15, 2024","Nov 6, 2024",2024,Red One,Amazon MGM Studios,Action,Original Screenplay,Live Action,Contemporary Fiction,200000000,4032,4032,20501,32106112,97000759,97000759,89000000,186000759
29,"May 17, 2024","May 8, 2024",2024,IF,Paramount Pictures,Comedy,Original Screenplay,Animation/Live Action,Kids Fiction,110000000,4041,4068,22839,33715801,111375918,111375918,73522752,184898670
30,"Dec 25, 2024","Dec 25, 2024",2024,Nosferatu,Focus Features,Horror,Based on Fiction Book/Short Story,Live Action,Fantasy,50000000,2992,3132,15264,21652560,95608235,95608235,86197410,181805645
31,"May 3, 2024","Mar 1, 2024",2024,The Fall Guy,Universal,Action,Based on TV,Live Action,Contemporary Fiction,125000000,4002,4008,23675,27747035,92900355,92900355,88373488,181273843
32,"Feb 14, 2024","Jan 23, 2024",2024,Bob Marley: One Love,Paramount Pictures,Drama,Based on Real Life Events,Live Action,Dramatization,70000000,3539,3597,18840,28659004,96981216,96981216,79779143,176760359
33,"May 24, 2024","May 22, 2024",2024,Furiosa: A Mad Max Saga,Warner Bros.,Action,Spin-Off,Live Action,Science Fiction,168000000,3804,3864,14436,26326462,67587546,67587546,106900000,174487546
34,"Dec 5, 2024","Aug 15, 2024",2024,Pushpa: The Rule Part 2,Prathyangira Cinemas,Action,Original Screenplay,Live Action,Contemporary Fiction,0,1245,1245,1876,4800000,13000000,13000000,155618313,168618313
35,"Dec 31, 2024","Sep 30, 2024",2024,The Volunteers: The Battle of Life an,,Drama,Original Screenplay,Live Action,Historical Fiction,0,0,0,0,0,0,0,166701698,166701698
36,"Dec 31, 2024","Apr 18, 2025",2024,Detective Conan: One-eyed Flashback,,Action,Based on Comic/Graphic Novel,Digital Animation,Kids Fiction,0,0,0,0,0,0,0,156837208,156837208
37,"Jan 12, 2024","Jan 10, 2024",2024,The Beekeeper,Amazon MGM Studios,Action,Original Screenplay,Live Action,Contemporary Fiction,40000000,3303,3337,23397,16576007,66220535,66220535,86188698,152409233
38,"Dec 25, 2024","Dec 25, 2024",2024,A Complete Unknown,Searchlight Pictures,Drama,Based on Factual Book/Article,Live Action,Dramatization,70000000,2835,2835,19000,11655553,75001720,75001720,65425973,140427693
39,"Oct 18, 2024","Oct 16, 2024",2024,Smile 2,Paramount Pictures,Horror,Based on Short Film,Live Action,Contemporary Fiction,28000000,3619,3624,17225,23021692,69012586,69012586,69011778,138024364
40,"Sep 20, 2024","Sep 11, 2024",2024,Transformers One,Paramount Pictures,Adventure,Based on TV,Digital Animation,Science Fiction,75000000,3978,3978,18458,24613970,59098421,59098421,69219245,128317666
41,"Apr 12, 2024","Apr 11, 2024",2024,Civil War,A24,Action,Original Screenplay,Live Action,Science Fiction,50000000,3838,3929,18114,25537368,68757539,68757539,58581814,127339353
42,"Jun 27, 2024","May 9, 2024",2024,Kalki 2898-AD,Prathyangira Cinemas,Action,Original Screenplay,Live Action,Science Fiction,0,1049,1049,2143,5668275,18289575,18289575,107567863,125857438
43,"Jul 12, 2024","Jul 10, 2024",2024,Longlegs,Neon,Horror,Original Screenplay,Live Action,Historical Fiction,10000000,2510,2850,13879,22400119,74346140,74346140,51065176,125411316
44,"May 31, 2024","Feb 16, 2024",2024,Haikyu The Movie: Decisive Battle a,Crunchyroll,Drama,Original Screenplay,Hand Animation,Contemporary Fiction,0,1119,1119,2543,3645301,7071622,7071622,102130494,109202116
45,"Dec 31, 2024","May 1, 2024",2024,Desperate for Money at the End of the,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,107620607,107620607
46,"Dec 31, 2024","Jan 29, 2025",2024,Boonie Bears: Future Reborn,,Adventure,Original Screenplay,Live Action,Fantasy,0,0,0,0,0,0,0,104582715,104582715
47,"Jan 12, 2024","Jan 10, 2024",2024,Mean Girls,Paramount Pictures,Musical,Based on Musical or Opera,Live Action,Contemporary Fiction,36000000,3791,3826,19185,28635307,72581770,72581770,32000000,104581770
48,"Oct 25, 2024","Oct 25, 2024",2024,Conclave,Focus Features,Thriller/Suspense,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,20000000,1753,2377,12979,6601995,32580655,32580655,70519448,103100103
49,"Aug 16, 2024","Aug 15, 2024",2024,Stree 2,Prathyangira Cinemas,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,666,666,666,2184000,2184000,2184000,100000000,102184000
50,"Feb 14, 2024","Feb 14, 2024",2024,Madame Web,Sony Pictures,Action,Spin-Off,Live Action,Super Hero,80000000,4013,4013,14307,15335860,43817106,43817106,56481711,100298817
51,"Dec 31, 2024","Dec 27, 2024",2024,Big World,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,96630911,96630911
52,"Feb 2, 2024","Jan 31, 2024",2024,Argylle,Universal,Action,Original Screenplay,Live Action,Contemporary Fiction,200000000,3605,3647,17265,17473540,45207275,45207275,51018953,96226228
53,"Apr 26, 2024","Apr 18, 2024",2024,Challengers,Amazon MGM Studios,Drama,Original Screenplay,Live Action,Contemporary Fiction,55000000,3477,3477,14307,15011061,50119408,50119408,46000000,96119408
54,"Apr 19, 2024","Dec 22, 2023",2024,Spy x Family Code: White,Crunchyroll,Action,Original Screenplay,Digital Animation,Contemporary Fiction,0,2009,2009,4586,4824993,8110042,8110042,87635671,95745713
55,"Dec 31, 2024","Nov 22, 2024",2024,Her Story,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,91807492,91807492
56,"Mar 1, 2024","Mar 1, 2024",2024,The Pig the Snake and the Pigeon,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,91608950,91608950
57,"Aug 9, 2024","May 1, 2024",2024,Twilight of the Warriors: Walled In,Well Go USA,Action,Based on Comic/Graphic Novel,Live Action,Historical Fiction,0,130,139,152,144871,336003,336003,86833197,87169200
58,"Mar 15, 2024","Feb 22, 2024",2024,Exhuma,Well Go USA,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,3,70,334,60512,2310900,2310900,82417699,84728599
59,"Aug 2, 2024","Jul 31, 2024",2024,Trap,Warner Bros.,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,30000000,3181,3181,11824,15454146,42777281,42777281,40900000,83677281
60,"Apr 26, 2024","Apr 24, 2024",2024,The Roundup: Punishment 4,Capelight Pictures,Action,Original Screenplay,Live Action,Contemporary Fiction,0,2,74,192,55684,1154475,1154475,77457281,78611756
61,"Sep 20, 2024","Sep 18, 2024",2024,The Substance,MUBI,Horror,Original Screenplay,Live Action,Science Fiction,17500000,1949,1949,8928,3205212,17584795,17584795,59720652,77305447
62,"Sep 13, 2024","Aug 7, 2024",2024,Speak No Evil,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,15000000,3375,3375,14859,11397595,36931420,36931420,40307894,77239314
63,"Oct 11, 2024","Oct 9, 2024",2024,Terrifier 3,Iconic/Cineverse,Horror,Original Screenplay,Live Action,Contemporary Fiction,2000000,2514,2762,11916,18928113,53981071,53981071,22355421,76336492
64,"Dec 31, 2024","Jun 22, 2024",2024,Moments We Shared,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,71154383,71154383
65,"Sep 27, 2024","Aug 16, 2024",2024,GO FOR BROKE,,Action,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,65388937,65388937
66,"Dec 25, 2024","Dec 25, 2024",2024,Babygirl,A24,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,20000000,2115,2164,9175,4490145,28175128,28175128,35570441,63745569
67,"Oct 4, 2024","Oct 1, 2024",2024,Tiger Wolf Rabbit,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,63683455,63683455
68,"Dec 31, 2024","Dec 31, 2024",2024,Honey Money Phony,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,61468059,61468059
69,"Dec 13, 2024","Aug 29, 2024",2024,Kraven the Hunter,Sony Pictures,Action,Based on Comic/Graphic Novel,Live Action,Super Hero,110000000,3211,3211,12918,11001109,25026310,25026310,34985118,60011428
70,"Oct 18, 2024","Oct 17, 2024",2024,Anora,Neon,Comedy,Original Screenplay,Live Action,Contemporary Fiction,6000000,6,1938,10486,550503,20474298,20474298,37745198,58219496
71,"Nov 8, 2024","Nov 1, 2024",2024,Heretic,A24,Horror,Original Screenplay,Live Action,Contemporary Fiction,0,3221,3230,9112,10829810,27716205,27716205,30378637,58094842
72,"Oct 11, 2024","Oct 10, 2024",2024,We Live in Time,A24,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,5,2964,10288,232615,24690031,24690031,32425170,57115201
73,"Jan 5, 2024","Jan 3, 2024",2024,Night Swim,Universal,Horror,Based on Short Film,Live Action,Contemporary Fiction,15000000,3250,3257,16620,11797155,32494740,32494740,22290647,54785387
74,"Jan 12, 2024","Dec 29, 2023",2024,I Did It My Way,Well Go USA,Action,Original Screenplay,Live Action,Contemporary Fiction,0,36,36,66,75873,190686,190686,54125606,54316292
75,"Apr 5, 2024","Apr 3, 2024",2024,The First Omen,20th Century Studios,Horror,Original Screenplay,Live Action,Contemporary Fiction,30000000,3375,3375,11025,8353710,20092802,20092802,33900000,53992802
76,"Dec 31, 2024","Aug 10, 2024",2024,White Snake: Afloat,,Romantic Comedy,Original Screenplay,Digital Animation,Contemporary Fiction,0,0,0,0,0,0,0,53886467,53886467
77,"Dec 31, 2024","Apr 30, 2025",2024,The Dumpling Queen,,Drama,Based on Real Life Events,Live Action,Dramatization,0,0,0,0,0,0,0,52777038,52777038
78,"Sep 27, 2024","Sep 13, 2024",2024,I The Executioner 2,Blue Fox Entertainment,Action,Original Screenplay,Live Action,Contemporary Fiction,0,53,53,105,124099,388067,388067,51878186,52266253
79,"Dec 31, 2024","Jul 20, 2024",2024,Kingdom 4: Return of the Great Genera,,Action,,Live Action,Historical Fiction,0,0,0,0,0,0,0,52084125,52084125
80,"May 17, 2024","Apr 4, 2024",2024,Back to Black,Focus Features,Drama,Based on Real Life Events,Live Action,Dramatization,0,2010,2013,4695,2835720,6178165,6178165,44848450,51026615
81,"Feb 23, 2024","Feb 2, 2024",2024,Demon Slayer: Kimetsu no Yaiba To t,Crunchyroll,Action,Based on Comic/Graphic Novel,Digital Animation,Fantasy,0,1949,1949,5164,11505414,17657658,17657658,32782014,50439672
82,"Dec 20, 2024","Feb 28, 2024",2024,The Brutalist,A24,Drama,Original Screenplay,Live Action,Historical Fiction,0,4,1612,6056,266791,16249415,16249415,34026312,50275727
83,"Dec 31, 2024","Aug 9, 2024",2024,Upstream,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,49528223,49528223
84,"May 3, 2024","May 1, 2024",2024,Tarot,Sony Pictures,Horror,Based on Fiction Book/Short Story,Live Action,Contemporary Fiction,8000000,3104,3104,10336,6503012,18771004,18771004,30333741,49104745
85,"Aug 23, 2024","Aug 21, 2024",2024,Blink Twice,Amazon MGM Studios,Thriller/Suspense,Original Screenplay,Live Action,Contemporary Fiction,0,3067,3067,9340,7301894,23093906,23093906,25000000,48093906
86,"May 17, 2024","May 15, 2024",2024,The Strangers: Chapter 1,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,8500000,2856,2856,12010,11825058,35202562,35202562,12243343,47445905
87,"Dec 31, 2024","Aug 3, 2024",2024,Decoded,,Drama,Original Screenplay,Live Action,Contemporary Fiction,0,0,0,0,0,0,0,46259122,46259122
88,"Mar 8, 2024","Mar 6, 2024",2024,Imaginary,Lionsgate,Horror,Original Screenplay,Live Action,Contemporary Fiction,13000000,3118,3118,12235,9912713,28009161,28009161,15664455,43673616
89,"Apr 19, 2024","Apr 17, 2024",2024,Abigail,Universal,Horror,Original Screenplay,Live Action,Contemporary Fiction,28000000,3384,3393,11859,10297110,25867515,25867515,17174055,43041570
90,"Oct 18, 2024","Oct 1, 2024",2024,Panda Plan,Well Go USA,Comedy,Original Screenplay,Live Action,Contemporary Fiction,0,33,33,33,40110,40110,40110,42198060,42238170
91,"Dec 31, 2024","Aug 9, 2024",2024,Crayon Shinchan: Our Dinosaur Diary,,Adventure,Based on Comic/Graphic Novel,Digital Animation,Science Fiction,0,0,0,0,0,0,0,40550592,40550592
